City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,77,PF,1604262409,86,-23.12,-134.97,74.55,22.3
La Rioja,0,ES,1604262550,87,42.25,-2.5,60.01,7.43
Punta Arenas,75,CL,1604262550,76,-53.15,-70.92,51.8,14.99
Praia da Vitória,75,PT,1604262550,100,38.73,-27.07,64.0,18.21
Cabo San Lucas,43,MX,1604262524,38,22.89,-109.91,90.0,4.0
Mar del Plata,0,AR,1604262550,59,-38.0,-57.56,66.2,10.29
Kaitangata,52,NZ,1604262409,70,-46.28,169.85,51.01,8.01
Albany,100,US,1604262364,85,42.6,-73.97,46.99,1.01
Shakawe,0,BW,1604262551,22,-18.37,21.85,78.58,4.88
Te Anau,100,NZ,1604262551,83,-45.42,167.72,44.67,2.3
Busselton,81,AU,1604262551,82,-33.65,115.33,55.0,5.79
Porto-Novo,73,BJ,1604262551,85,6.5,2.6,80.01,8.01
Souillac,20,MU,1604262551,64,-20.52,57.52,69.8,6.93
Faya,0,SA,1604262429,27,18.39,42.45,62.6,3.36
Shonguy,75,RU,1604262551,93,68.75,33.15,37.4,4.47
Goderich,100,CA,1604262440,59,43.75,-81.72,37.4,26.4
Port Lincoln,65,AU,1604262431,66,-34.73,135.87,62.29,10.54
Teya,100,RU,1604262551,90,60.38,92.63,35.71,12.84
Port Alfred,60,ZA,1604262551,81,-33.59,26.89,66.11,21.09
Palamás,20,GR,1604262551,87,39.47,22.08,57.0,3.18
Butaritari,1,KI,1604262267,78,3.07,172.79,81.79,10.6
Atuona,10,PF,1604262408,78,-9.8,-139.03,77.99,15.39
Chute-aux-Outardes,75,CA,1604262551,69,49.12,-68.4,37.4,6.93
Mossamedes,88,AO,1604262551,70,-15.2,12.15,73.54,5.17
Dikson,96,RU,1604262331,98,73.51,80.55,19.63,9.06
Bluff,100,NZ,1604262551,87,-46.6,168.33,48.0,8.01
Faanui,33,PF,1604262425,80,-16.48,-151.75,79.9,23.73
Karratha,100,AU,1604262422,70,-20.74,116.85,73.56,12.15
Saint-Philippe,75,RE,1604262551,68,-21.36,55.77,68.0,5.82
Aden,0,YE,1604262551,62,12.78,45.04,82.11,15.93
Hobart,20,AU,1604262449,82,-42.88,147.33,57.2,5.82
Belmonte,20,BR,1604262551,83,-15.86,-38.88,82.4,1.12
Mataura,66,NZ,1604262551,87,-46.19,168.86,48.0,8.01
Kapaa,1,US,1604262551,69,22.08,-159.32,80.6,3.36
Puerto Ayora,40,EC,1604262552,69,-0.74,-90.35,78.8,13.87
Ambilobe,51,MG,1604262552,73,-13.2,49.05,71.26,5.88
Pevek,100,RU,1604262552,90,69.7,170.31,15.64,14.29
Carnarvon,40,AU,1604262552,64,-24.87,113.63,68.0,18.34
Ribeira Grande,75,PT,1604262412,88,38.52,-28.7,62.6,11.41
Cape Town,0,ZA,1604262410,64,-33.93,18.42,68.0,14.99
Ayan,100,RU,1604262552,98,56.45,138.17,26.82,21.03
Batagay-Alyta,40,RU,1604262552,86,67.8,130.41,-9.58,1.77
Qaqortoq,0,GL,1604262545,68,60.72,-46.03,26.6,3.36
Prince George,20,CA,1604262532,66,53.92,-122.75,46.0,18.34
Hilo,90,US,1604262552,74,19.73,-155.09,82.0,3.36
Vaini,75,TO,1604262552,83,-21.2,-175.2,77.0,9.17
Luganville,40,VU,1604262552,78,-15.53,167.17,82.4,3.36
Carupano,74,VE,1604262552,75,10.67,-63.26,83.89,7.96
Husavik,90,IS,1604262552,59,66.04,-17.34,37.4,2.24
Aras,0,ES,1604262436,87,42.56,-2.36,60.01,1.14
Salamiyah,48,SY,1604262552,87,35.01,37.05,61.95,5.39
Ust'-Ilimsk,94,RU,1604262552,87,58.0,102.66,16.88,7.85
Lompoc,1,US,1604262552,47,34.64,-120.46,82.0,12.75
Bredasdorp,21,ZA,1604262552,93,-34.53,20.04,62.6,6.93
Iranshahr,0,IR,1604262552,11,27.2,60.68,62.6,6.93
Vincennes,90,FR,1604262552,88,48.85,2.43,64.99,16.11
Mount Abu,0,IN,1604262552,33,24.6,72.7,59.9,3.71
Saint Anthony,1,US,1604262356,32,45.02,-93.22,37.99,12.75
Saskylakh,99,RU,1604262552,88,71.92,114.08,-9.26,10.67
Ushuaia,75,AR,1604262401,58,-54.8,-68.3,57.2,2.24
Avarua,50,CK,1604262552,88,-21.21,-159.78,77.0,18.34
Christchurch,100,NZ,1604262552,76,-43.53,172.63,57.0,2.24
Shipunovo,3,RU,1604262552,94,52.16,82.22,31.42,9.22
Morón,0,AR,1604262446,31,-34.65,-58.62,78.01,10.29
Padang,100,ID,1604262553,72,-0.95,100.35,78.24,2.71
Bambous Virieux,20,MU,1604262553,64,-20.34,57.76,69.8,6.93
Nehe,100,CN,1604262553,92,48.48,124.83,24.4,11.45
Luoyang,0,CN,1604262553,99,34.68,112.45,55.0,3.53
Cleethorpes,98,GB,1604262553,82,53.56,-0.03,64.4,25.28
Palmer,90,US,1604262338,81,42.16,-72.33,50.0,10.29
Shkotovo,0,RU,1604262553,86,43.33,132.36,26.6,4.47
Isangel,10,VU,1604262553,77,-19.55,169.27,77.4,14.88
Ponta do Sol,20,PT,1604262553,77,32.67,-17.1,69.8,3.36
Nemuro,100,JP,1604262553,81,43.32,145.57,57.0,21.85
Gardez,0,AF,1604262553,56,33.6,69.23,32.86,1.66
Guerrero Negro,22,MX,1604262553,36,27.98,-114.06,81.32,10.51
Barra de Tecoanapa,1,MX,1604262553,67,16.52,-98.75,85.33,9.22
Hong Kong,100,HK,1604262363,77,22.29,114.16,75.0,10.36
Khatanga,100,RU,1604262553,92,71.97,102.5,2.75,5.3
Provideniya,0,RU,1604262412,67,64.38,-173.3,17.6,4.47
San Patricio,20,US,1604262553,37,28.02,-97.52,84.0,12.75
Jamestown,90,US,1604262553,83,42.1,-79.24,41.0,21.81
Sisimiut,100,GL,1604262553,95,66.94,-53.67,28.4,8.68
Saint Paul Harbor,90,US,1604262553,58,57.79,-152.41,30.2,13.87
Bethel,90,US,1604262553,100,41.37,-73.41,50.0,11.41
Soma,0,TR,1604262553,81,39.19,27.61,51.8,6.22
Hamilton,40,US,1604262553,39,39.18,-84.53,48.2,23.04
Saýat,0,TM,1604262553,34,38.78,63.88,50.0,6.93
Stornoway,100,GB,1604262553,87,58.21,-6.39,48.2,26.4
Lebu,7,CL,1604262411,79,-37.62,-73.65,57.83,5.35
Ilulissat,100,GL,1604262554,62,69.22,-51.1,19.4,9.17
Tamandaré,93,BR,1604262554,78,-8.76,-35.1,78.89,11.3
Chui,0,UY,1604262417,54,-33.7,-53.46,62.82,9.28
Solnechnyy,100,RU,1604262554,96,50.72,136.63,31.17,4.18
Kismayo,95,SO,1604262554,79,-0.36,42.55,79.79,13.31
Jérémie,84,HT,1604262554,71,18.65,-74.12,83.59,5.88
East London,81,ZA,1604262411,83,-33.02,27.91,66.25,15.23
Kanigiri,23,IN,1604262554,74,15.4,79.52,75.58,3.44
Mahon,20,ES,1604262554,82,39.89,4.27,62.6,6.93
Tarata,20,BO,1604262554,27,-17.62,-66.02,78.8,13.87
Kaniv,100,UA,1604262554,91,49.75,31.46,45.0,10.36
Valdivia,0,CL,1604262554,53,-39.81,-73.25,71.6,9.17
Najrān,0,SA,1604262424,25,17.49,44.13,64.4,2.24
São Geraldo do Araguaia,81,BR,1604262554,43,-6.4,-48.55,92.71,0.98
New Norfolk,100,AU,1604262411,80,-42.78,147.06,55.0,1.92
Sangīn,0,AF,1604262554,47,32.07,64.84,45.82,1.43
Pitimbu,20,BR,1604262554,78,-7.47,-34.81,80.6,10.29
Bedēsa,30,ET,1604262554,70,8.9,40.78,61.95,3.62
Salalah,0,OM,1604262554,69,17.02,54.09,77.0,2.24
Umm Kaddadah,0,SD,1604262554,19,13.6,26.69,85.37,16.35
Hobyo,1,SO,1604262554,76,5.35,48.53,80.76,7.63
Mattru,12,SL,1604262554,94,7.62,-11.83,75.79,3.51
Cidreira,25,BR,1604262423,62,-30.18,-50.21,65.98,9.4
Torbay,75,CA,1604262554,60,47.67,-52.73,39.99,14.99
Fortuna,20,US,1604262554,63,40.6,-124.16,64.99,11.41
San Rafael,0,AR,1604262554,14,-34.62,-68.33,85.23,15.75
Bambanglipuro,85,ID,1604262555,86,-7.95,110.28,76.23,5.19
Louveira,40,BR,1604262555,52,-23.09,-46.95,70.0,16.11
Severnyy,75,RU,1604262555,93,50.68,36.55,46.4,6.71
Iqaluit,75,CA,1604262555,78,63.75,-68.51,10.4,5.82
Kavieng,14,PG,1604262555,72,-2.57,150.8,82.81,7.36
Hithadhoo,100,MV,1604262555,73,-0.6,73.08,83.23,11.05
Tiksi,0,RU,1604262270,90,71.69,128.87,-6.52,6.67
Hermanus,0,ZA,1604262555,83,-34.42,19.23,63.0,4.0
Bichena,38,ET,1604262555,61,10.45,38.2,53.01,2.28
Tuburan,100,PH,1604262555,79,6.64,122.27,80.87,5.93
Comodoro Rivadavia,0,AR,1604262423,42,-45.87,-67.5,80.6,3.36
